iter	RMSE
0	87512.67958
1	83349.97704
2	79545.70192
3	75963.16607
4	72724.61956
5	69649.78861
6	66966.84349
7	64346.95782
8	61980.23563
9	59659.41849
10	57592.38526
11	55734.47956
12	53878.59663
13	52224.93087
14	50639.15629
15	49293.73156
16	48019.94213
17	46878.68075
18	45813.24881
19	44853.80893
20	43980.46344
21	43107.76923
22	42378.47561
23	41663.61665
24	40988.16098
25	40373.41567
26	39781.5991
27	39304.69084
28	38805.59198
29	38402.89343
30	37943.91421
31	37621.12445
32	37294.14601
33	36926.43156
34	36663.72612
35	36418.15161
36	36170.51823
37	35917.16601
38	35651.25442
39	35412.17926
40	35233.11015
41	35056.46211
42	34897.2469
43	34737.0742
44	34597.83525
45	34438.37998
46	34315.53219
47	34189.03853
48	34059.61201
49	33947.73029
50	33811.10855
51	33702.68275
52	33620.08691
53	33531.1912
54	33454.85789
55	33346.08778
56	33231.88106
57	33139.73728
58	33073.41952
59	32980.76202
60	32913.26778
61	32838.79941
62	32765.54272
63	32705.74859
64	32632.76801
65	32572.76124
66	32458.27381
67	32392.16092
68	32328.03831
69	32248.7463
70	32156.96614
71	32100.40458
72	32031.14865
73	31985.02471
74	31935.85545
75	31892.0448
76	31814.03988
77	31750.29813
78	31664.34205
79	31601.90214
80	31543.10051
81	31489.30737
82	31445.05162
83	31377.65419
84	31270.33297
85	31224.73052
86	31188.66694
87	31161.69911
88	31081.82619
89	31041.26914
90	30991.42891
91	30959.63225
92	30911.8196
93	30845.40471
94	30808.73925
95	30767.6074
96	30732.40048
97	30704.14338
98	30669.57208
99	30620.96399
100	30570.27174
101	30540.13988
102	30517.35527
103	30491.48803
104	30445.95331
105	30387.0229
106	30308.09659
107	30266.49377
108	30207.46951
109	30166.70533
110	30110.8569
111	30070.78048
112	30031.1601
113	30003.5023
114	29948.81688
115	29914.8008
116	29876.08399
117	29823.1287
118	29773.50903
119	29717.80847
120	29647.32609
121	29603.52608
122	29557.22597
123	29514.32127
124	29463.50444
125	29434.88911
126	29405.68959
127	29348.29084
128	29322.5594
129	29309.71694
130	29255.87282
131	29211.39656
132	29188.88049
133	29153.41549
134	29119.98265
135	29063.04336
136	29033.5584
137	29006.13454
138	28977.52461
139	28930.94857
140	28912.22009
141	28874.25327
142	28848.38215
143	28829.34172
144	28802.96288
145	28762.88654
146	28740.60484
147	28714.60464
148	28684.92973
149	28645.02263
150	28611.96608
151	28581.92901
152	28538.20577
153	28501.94619
154	28437.23488
155	28401.51265
156	28378.98225
157	28356.72108
158	28327.03523
159	28299.37712
160	28270.25495
161	28245.30062
162	28210.32347
163	28165.09068
164	28123.00819
165	28105.32128
166	28061.90586
167	28030.2284
168	27999.46331
169	27972.95766
170	27952.7981
171	27913.88477
172	27875.96679
173	27852.81334
174	27813.74227
175	27772.80622
176	27723.03086
177	27697.99851
178	27674.50573
179	27652.69936
180	27612.70441
181	27579.74489
182	27566.55347
183	27553.20341
184	27524.97368
185	27486.51723
186	27465.28646
187	27425.53137
188	27390.76978
189	27358.07423
190	27333.30635
191	27309.666
192	27269.88477
193	27243.52291
194	27231.17171
195	27193.17611
196	27171.94662
197	27144.21774
198	27128.48943
199	27094.05374
200	27064.23352
201	27048.62898
202	26996.6794
203	26969.13504
204	26951.31023
205	26914.16466
206	26884.51237
207	26853.73204
208	26833.76955
209	26814.22291
210	26782.3707
211	26761.90513
212	26720.31966
