iter	Passed	Remaining
0	8	8108
1	15	7558
2	22	7492
3	29	7372
4	37	7435
5	45	7507
6	52	7447
7	60	7457
8	66	7372
9	73	7261
10	80	7199
11	86	7098
12	92	7035
13	99	6984
14	105	6928
15	111	6864
16	117	6799
17	123	6736
18	129	6679
19	135	6620
20	140	6566
21	146	6517
22	152	6481
23	158	6441
24	164	6410
25	170	6386
26	176	6363
27	182	6333
28	188	6313
29	195	6306
30	200	6280
31	206	6252
32	212	6231
33	218	6214
34	224	6184
35	229	6157
36	235	6130
37	241	6107
38	247	6090
39	253	6073
40	258	6051
41	264	6031
42	270	6018
43	276	6001
44	281	5984
45	287	5971
46	293	5955
47	299	5938
48	305	5924
49	310	5906
50	316	5892
51	322	5877
52	328	5862
53	334	5860
54	340	5843
55	346	5833
56	351	5823
57	357	5807
58	363	5793
59	369	5782
60	374	5767
61	380	5755
62	386	5743
63	392	5736
64	398	5725
65	403	5715
66	409	5702
67	415	5690
68	421	5682
69	426	5667
70	432	5653
71	437	5642
72	443	5631
73	449	5619
74	454	5608
75	460	5597
76	466	5588
77	472	5587
78	478	5579
79	484	5569
80	489	5558
81	495	5552
82	501	5544
83	507	5535
84	513	5526
85	519	5516
86	525	5510
87	530	5498
88	536	5488
89	542	5480
90	547	5472
91	553	5464
92	559	5456
93	565	5447
94	571	5440
95	576	5430
96	582	5420
97	588	5412
98	593	5400
99	598	5389
100	604	5381
101	611	5380
102	616	5370
103	622	5360
104	627	5351
105	633	5341
106	638	5330
107	644	5319
108	649	5309
109	655	5301
110	661	5296
111	667	5294
112	673	5286
113	681	5294
114	686	5286
115	693	5284
116	699	5278
117	705	5270
118	710	5259
119	716	5256
120	722	5251
121	729	5246
122	734	5239
123	741	5235
124	746	5226
125	753	5225
126	759	5218
127	765	5212
128	771	5205
129	776	5199
130	782	5193
131	789	5188
132	794	5181
133	800	5175
134	806	5169
135	812	5162
136	818	5156
137	824	5148
138	829	5138
139	835	5135
140	841	5128
141	847	5119
142	853	5112
143	858	5105
144	865	5101
145	871	5097
146	877	5089
147	883	5085
148	889	5079
149	896	5078
150	902	5072
151	907	5065
152	914	5060
153	919	5052
154	926	5048
155	932	5044
156	938	5038
157	944	5034
158	950	5028
159	957	5027
160	964	5026
161	971	5025
162	977	5020
163	984	5016
164	990	5011
165	996	5007
166	1003	5003
167	1010	5004
168	1017	5003
169	1024	5000
170	1030	4994
171	1035	4985
172	1041	4979
173	1047	4973
174	1053	4966
175	1059	4962
176	1065	4954
177	1071	4947
178	1077	4940
179	1083	4933
180	1088	4926
181	1094	4917
182	1100	4911
183	1106	4905
184	1111	4897
185	1117	4890
186	1123	4886
187	1129	4880
188	1136	4875
189	1141	4868
190	1147	4861
191	1153	4855
192	1159	4848
193	1165	4841
194	1171	4834
195	1177	4828
196	1183	4822
197	1189	4817
198	1195	4810
199	1201	4807
200	1207	4800
201	1213	4793
202	1219	4788
203	1225	4781
204	1231	4774
205	1236	4767
206	1242	4760
207	1248	4755
208	1254	4746
209	1259	4739
210	1266	4734
211	1271	4727
212	1277	4720
213	1283	4715
214	1289	4707
215	1295	4701
216	1301	4694
217	1306	4688
218	1312	4682
219	1319	4676
220	1324	4669
221	1331	4664
222	1337	4658
223	1342	4652
224	1348	4645
225	1354	4637
226	1360	4631
227	1365	4624
228	1371	4618
229	1377	4612
230	1383	4605
231	1389	4599
232	1395	4593
233	1400	4586
234	1407	4581
235	1412	4574
236	1418	4566
237	1424	4560
238	1430	4554
239	1437	4551
240	1444	4547
241	1450	4543
242	1458	4542
243	1464	4538
244	1471	4534
245	1480	4537
246	1487	4534
247	1493	4528
248	1499	4521
249	1505	4517
250	1511	4510
251	1517	4505
252	1523	4499
253	1530	4494
254	1536	4487
255	1541	4480
256	1547	4473
257	1553	4467
258	1559	4462
259	1565	4455
260	1571	4449
261	1577	4443
262	1583	4437
263	1589	4430
264	1595	4425
265	1600	4417
266	1606	4411
267	1612	4405
268	1618	4399
269	1625	4393
270	1630	4387
271	1636	4381
272	1642	4374
273	1648	4366
274	1653	4359
275	1659	4352
276	1665	4346
277	1670	4338
278	1676	4331
279	1681	4324
280	1687	4317
281	1692	4310
282	1698	4303
283	1704	4296
284	1709	4289
285	1715	4282
286	1720	4274
287	1726	4267
288	1731	4260
289	1737	4253
290	1742	4246
291	1748	4239
292	1754	4232
293	1759	4225
294	1765	4218
295	1770	4211
296	1776	4205
297	1782	4197
298	1787	4190
299	1793	4185
300	1799	4178
301	1804	4171
302	1810	4164
303	1815	4156
304	1821	4150
305	1827	4144
306	1832	4137
307	1838	4130
308	1843	4122
309	1849	4116
310	1854	4109
311	1860	4102
312	1865	4095
313	1871	4089
314	1877	4082
315	1883	4075
316	1888	4069
317	1894	4063
318	1900	4057
319	1906	4050
320	1911	4043
321	1917	4037
322	1923	4030
323	1929	4025
324	1934	4017
325	1940	4011
326	1945	4004
327	1950	3997
328	1956	3990
329	1961	3983
330	1967	3977
331	1974	3972
332	1980	3966
333	1986	3960
334	1992	3954
335	1998	3948
336	2004	3942
337	2010	3937
338	2016	3932
339	2022	3925
340	2028	3919
341	2033	3913
342	2040	3907
343	2045	3901
344	2051	3894
345	2057	3888
346	2063	3883
347	2070	3878
348	2076	3872
349	2081	3866
350	2087	3860
351	2094	3855
352	2100	3849
353	2105	3843
354	2111	3836
355	2117	3830
356	2123	3825
357	2129	3818
358	2134	3811
359	2139	3804
360	2145	3797
361	2151	3791
362	2156	3784
363	2161	3777
364	2167	3770
365	2172	3763
366	2178	3756
367	2183	3750
368	2189	3743
369	2194	3736
370	2200	3730
371	2206	3724
372	2211	3718
373	2217	3711
374	2223	3705
375	2228	3698
376	2234	3692
377	2240	3686
378	2245	3679
379	2251	3672
380	2256	3666
381	2262	3659
382	2267	3653
383	2273	3646
384	2278	3640
385	2284	3633
386	2289	3626
387	2295	3620
388	2300	3613
389	2306	3607
390	2311	3600
391	2316	3593
392	2322	3586
393	2327	3579
394	2332	3573
395	2338	3566
396	2343	3559
397	2348	3552
398	2354	3546
399	2360	3540
400	2365	3534
401	2371	3527
402	2376	3521
403	2382	3514
404	2387	3507
405	2393	3501
406	2398	3495
407	2404	3488
408	2409	3482
409	2415	3475
410	2420	3468
411	2426	3462
412	2431	3456
413	2437	3450
414	2442	3443
415	2448	3436
416	2453	3430
417	2458	3423
418	2466	3420
419	2472	3414
420	2478	3408
421	2484	3402
422	2490	3396
423	2496	3391
424	2502	3385
425	2508	3379
426	2513	3373
427	2519	3367
428	2525	3361
429	2530	3354
430	2536	3348
431	2542	3343
432	2548	3336
433	2553	3330
434	2559	3324
435	2565	3318
436	2571	3312
437	2577	3307
438	2582	3300
439	2588	3294
440	2594	3288
441	2600	3282
442	2606	3277
443	2612	3271
444	2617	3264
445	2623	3258
446	2629	3252
447	2634	3246
448	2640	3240
449	2645	3233
450	2651	3227
451	2657	3221
452	2662	3214
453	2667	3208
454	2673	3202
455	2679	3196
456	2684	3189
457	2690	3183
458	2696	3177
459	2701	3171
460	2707	3165
461	2712	3159
462	2718	3152
463	2723	3146
464	2729	3139
465	2734	3133
466	2740	3127
467	2746	3121
468	2751	3115
469	2757	3109
470	2762	3102
471	2768	3097
472	2774	3091
473	2780	3085
474	2785	3079
475	2791	3072
476	2796	3066
477	2802	3060
478	2807	3054
479	2813	3047
480	2818	3041
481	2824	3035
482	2830	3029
483	2835	3023
484	2842	3017
485	2848	3012
486	2853	3006
487	2859	2999
488	2865	2993
489	2871	2988
490	2877	2982
491	2882	2976
492	2888	2970
493	2894	2964
494	2900	2959
495	2906	2953
496	2912	2947
497	2918	2941
498	2924	2936
499	2930	2930
500	2936	2924
501	2942	2919
502	2948	2913
503	2954	2907
504	2960	2901
505	2966	2896
506	2972	2890
507	2978	2884
508	2984	2878
509	2991	2874
510	2997	2868
511	3004	2863
512	3010	2857
513	3016	2852
514	3023	2847
515	3029	2841
516	3035	2836
517	3041	2830
518	3047	2824
519	3054	2819
520	3060	2813
521	3066	2808
522	3072	2802
523	3078	2796
524	3085	2791
525	3091	2785
526	3098	2780
527	3104	2774
528	3110	2769
529	3116	2763
530	3123	2758
531	3129	2753
532	3136	2747
533	3142	2742
534	3149	2737
535	3155	2731
536	3161	2725
537	3167	2719
538	3173	2714
539	3180	2709
540	3186	2703
541	3192	2697
542	3198	2691
543	3204	2685
544	3210	2680
545	3216	2674
546	3221	2668
547	3227	2662
548	3234	2657
549	3240	2651
550	3247	2646
551	3253	2640
552	3260	2635
553	3265	2629
554	3271	2623
555	3278	2618
556	3284	2612
557	3291	2606
558	3296	2600
559	3303	2595
560	3309	2590
561	3316	2584
562	3323	2579
563	3329	2573
564	3335	2567
565	3341	2562
566	3348	2556
567	3354	2551
568	3361	2545
569	3367	2540
570	3374	2535
571	3380	2529
572	3387	2524
573	3394	2519
574	3400	2513
575	3406	2507
576	3412	2501
577	3418	2495
578	3424	2489
579	3430	2484
580	3436	2478
581	3442	2472
582	3448	2466
583	3454	2460
584	3460	2454
585	3466	2448
586	3472	2442
587	3477	2436
588	3482	2430
589	3488	2424
590	3494	2418
591	3500	2412
592	3506	2406
593	3512	2401
594	3518	2395
595	3524	2389
596	3530	2383
597	3536	2377
598	3542	2371
599	3548	2365
600	3554	2360
601	3561	2354
602	3566	2348
603	3572	2342
604	3579	2336
605	3585	2330
606	3590	2324
607	3596	2318
608	3603	2313
609	3609	2307
610	3615	2301
611	3621	2295
612	3626	2289
613	3632	2283
614	3638	2277
615	3643	2271
616	3648	2265
617	3654	2259
618	3660	2253
619	3665	2246
620	3671	2240
621	3676	2234
622	3682	2228
623	3688	2222
624	3693	2216
625	3699	2210
626	3704	2203
627	3709	2197
628	3716	2191
629	3721	2185
630	3727	2179
631	3732	2173
632	3738	2167
633	3744	2161
634	3749	2155
635	3755	2149
636	3761	2143
637	3766	2137
638	3772	2131
639	3777	2124
640	3782	2118
641	3788	2112
642	3793	2106
643	3799	2100
644	3804	2094
645	3810	2088
646	3815	2081
647	3821	2075
648	3826	2069
649	3832	2063
650	3838	2057
651	3844	2051
652	3850	2045
653	3855	2039
654	3861	2034
655	3867	2028
656	3873	2021
657	3878	2015
658	3883	2009
659	3889	2003
660	3894	1997
661	3900	1991
662	3906	1985
663	3911	1979
664	3917	1973
665	3922	1967
666	3929	1961
667	3934	1955
668	3940	1949
669	3945	1943
670	3951	1937
671	3957	1931
672	3963	1925
673	3968	1919
674	3975	1914
675	3980	1908
676	3986	1902
677	3992	1896
678	3997	1889
679	4004	1884
680	4009	1878
681	4015	1872
682	4021	1866
683	4027	1860
684	4033	1854
685	4039	1848
686	4044	1842
687	4050	1836
688	4056	1831
689	4062	1825
690	4068	1819
691	4074	1813
692	4079	1807
693	4086	1801
694	4092	1796
695	4098	1790
696	4104	1784
697	4110	1778
698	4116	1772
699	4122	1766
700	4129	1761
701	4134	1755
702	4140	1749
703	4146	1743
704	4152	1737
705	4158	1731
706	4164	1725
707	4170	1719
708	4175	1713
709	4181	1708
710	4187	1702
711	4193	1696
712	4198	1690
713	4204	1684
714	4210	1678
715	4215	1672
716	4221	1666
717	4227	1660
718	4232	1654
719	4238	1648
720	4243	1642
721	4249	1636
722	4255	1630
723	4261	1624
724	4266	1618
725	4272	1612
726	4277	1606
727	4283	1600
728	4288	1594
729	4293	1588
730	4299	1582
731	4304	1576
732	4310	1570
733	4316	1564
734	4321	1558
735	4327	1552
736	4333	1546
737	4338	1540
738	4344	1534
739	4350	1528
740	4355	1522
741	4361	1516
742	4366	1510
743	4372	1504
744	4377	1498
745	4384	1492
746	4389	1486
747	4396	1481
748	4401	1475
749	4407	1469
750	4412	1463
751	4418	1457
752	4423	1451
753	4429	1445
754	4435	1439
755	4440	1433
756	4446	1427
757	4452	1421
758	4457	1415
759	4463	1409
760	4468	1403
761	4474	1397
762	4479	1391
763	4486	1385
764	4493	1380
765	4499	1374
766	4506	1368
767	4513	1363
768	4521	1358
769	4528	1352
770	4534	1346
771	4541	1341
772	4547	1335
773	4553	1329
774	4559	1323
775	4565	1317
776	4571	1312
777	4577	1306
778	4583	1300
779	4588	1294
780	4594	1288
781	4601	1282
782	4607	1276
783	4613	1271
784	4620	1265
785	4626	1259
786	4633	1253
787	4640	1248
788	4646	1242
789	4652	1236
790	4658	1230
791	4665	1225
792	4671	1219
793	4676	1213
794	4682	1207
795	4688	1201
796	4694	1195
797	4700	1189
798	4705	1183
799	4711	1177
800	4717	1172
801	4723	1166
802	4729	1160
803	4734	1154
804	4740	1148
805	4745	1142
806	4751	1136
807	4757	1130
808	4762	1124
809	4768	1118
810	4774	1112
